date,AS1,AS2,AS3
2025-03-03,0.008846237240458023,-0.011253690020304775,-0.01838188399537248
2025-03-04,-0.03459964686209038,-0.0037387859629922867,0.015471276471333496
2025-03-05,0.0008968714816315382,0.0066421283321698756,0.012778858563961578
2025-03-06,-0.01008575017671872,0.03232744036603454,-0.010022899027076563
2025-03-07,0.00498263674625443,0.03337496981739425,-0.000871028945819685
2025-03-10,0.0018715341645085032,-0.005642554534633026,0.004514317803252892
2025-03-11,-0.025020204356573768,-0.007261705151190673,0.0208291184261349
2025-03-12,0.0030359135936435535,-0.0023847822074269595,0.0049751418446051
2025-03-13,0.00547528176769531,0.0023252391664577592,0.007443054394891914
2025-03-14,-0.019415161605974358,0.007595063358689062,-0.007582321261279841
2025-03-17,0.009929631644308521,0.0002450396333678298,-0.0114781940772857
2025-03-18,-0.0003655719167939526,-0.011584961757336849,0.012652781067862811
2025-03-19,0.00015682086515276454,0.010737100588143126,-0.012880672801883557
2025-03-20,0.019933008074203912,-0.0031127356594110823,0.016883190079669888
2025-03-21,0.010748616137127437,-0.012711341618565505,0.004377853821962409
2025-03-24,-0.006009403893142851,0.005412373854567587,0.017689742612969
2025-03-25,0.008764050023163595,0.013315230671939576,-0.013558834156214249
2025-03-26,0.002947342342390578,0.0048088612649078676,0.013566772477546998
2025-03-27,-0.006933079925785518,0.007325433120274366,0.0056536557085397395
2025-03-28,-0.01779182045205034,-0.011976680329889047,0.005836049718032003
2025-03-31,-0.013618816155538484,-0.014222996481171602,0.011242880208347473
2025-04-01,0.0039267954754093875,-0.0023218748629496295,0.0017659231164076428
2025-04-02,-0.004354309904751896,-0.005943152836021287,-0.0050270612198838795
2025-04-03,0.005132742903607669,0.01635564421120144,-0.005149082318118817
2025-04-04,-0.0003238873351044621,-0.0021193371786357267,-0.014620333123616326
2025-04-07,0.003523296716103598,0.010901184672592979,-0.009624219797571035
2025-04-08,0.010497168341492946,-0.006360011171861694,0.014315606051717295
2025-04-09,0.01509038703313306,-0.004096875873888867,-0.023511282872112755
2025-04-10,-0.003675861972599155,-0.01619449247382296,-0.015276648769169711
2025-04-11,-0.0025339245108638654,0.016825399300946498,-0.0006052783069407826
2025-04-14,-0.002134961659210144,-0.0217059921629222,-0.006773493527185131
2025-04-15,-0.016240998048786287,0.006743932939361234,-0.005838947062237193
2025-04-16,-2.691248922773355e-05,0.00029949886268644153,-0.0017532978961697907
2025-04-17,0.011930813715968437,0.006341509538128776,-0.0033355272515144005
2025-04-18,0.002345109398749657,0.007133302741430982,0.01695614278310626
2025-04-21,0.002057936318270678,0.01787142730604551,-0.006630106127704875
2025-04-22,-0.002305980459194927,-0.017346458607259425,0.010362751027107323
2025-04-23,-0.011891302926786293,-0.011889565522895511,0.010605128851339634
2025-04-24,-0.005891903835373935,-0.008537376864571669,0.011936547992374692
2025-04-25,-0.0017116034199321142,0.011544061867821217,-0.004332190893607342
